DATACODE,RECTYPE,Location,Trans,Plot,Geology,Recyear,WLDate,Elevation,SWDate,Na1,Na2,K1,K2,Li,NH4_N,Ca1,Ca2,Mg1,Mg2,Sr,Ba,SO4,F,Cl,NO3_N,HPO4_P,Alkalinity,pH1,DDB,pH2,Temp,Si1,Si2,B,Conduct
AGW01,1,2-3Eis,2,3,Eis,1992,1992-06-17,370.65,6/18/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-4Mor,2,4,Mor,1992,1992-06-17,365.2,6/18/1992,5.14,na,1.2,na,na,na,79.3,na,20.4,na,na,na,26.2,na,1.1,bdl,bdl,326,7.78,na,na,na,na,na,na,na
AGW01,1,2-5Mor,2,5,Mor,1992,1992-06-17,364.92,6/18/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-6Mor,2,6,Mor,1992,1992-06-17,365.04,6/18/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-2Eis,3,2,Eis,1992,1992-06-17,370.14,6/18/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-2Mor,3,2,Mor,1992,1992-06-17,365.11,6/18/1992,4.12,na,0.67,na,na,na,89.5,na,14.5,na,na,na,35.5,na,1.2,0.108,bdl,314,7.72,na,na,na,na,na,na,na
AGW01,1,3-3Eis,3,3,Eis,1992,1992-06-17,371.84,6/18/1992,3.92,na,0.69,na,na,na,83.3,na,9.24,na,na,na,12.3,na,0.9,0.159,bdl,298,7.54,na,na,na,na,na,na,na
AGW01,1,3-3Mor,3,3,Mor,1992,1992-06-17,364.89,6/18/1992,12.6,na,6.16,na,na,na,64.7,na,35.1,na,na,na,85.2,0.8,3.9,0.34,bdl,304,7.71,na,na,na,na,na,na,na
AGW01,1,3-4AL,3,4,AL,1992,1992-06-17,367.04,6/18/1992,7.15,na,1.25,na,na,na,90.7,na,18.6,na,na,na,37.9,0.25,1.3,bdl,bdl,359,7.7,na,na,na,na,na,na,na
AGW01,1,3-5Mor,3,5,Mor,1992,1992-06-17,365.46,6/18/1992,4.93,na,0.71,na,na,na,91,na,19.2,na,na,na,29,0.5,1.3,bdl,bdl,349,7.69,na,na,na,na,na,na,na
